Last connected at,Email,Full name,Access role,Organization,Team,Job title
,younghyun.park@verkor.com,Younghyun Park,user,Verkor,,
,charline.lacrose@verkor.com,Charline Lacrose,user,Verkor,,
,jifeng.ren@verkor.com,Jifeng Ren,user,Verkor,,
,muhammad.azmi@verkor.com,Muhammad Azmi,user,Verkor,,
,faouzi.benmabrouk@verkor.com,Faouzi Benmabrouk,user,Verkor,,
,nbn.test@verkor.com,Nbn Test,user,Verkor,,
,mario.mangano@verkor.com,Mario Mangano,user,Verkor,,
,mike.gareau@verkor.com,Mike Gareau,user,Verkor,,
,ugurcan.demirtas@verkor.com,Ugurcan Demirtas,user,Verkor,,
,marlene.montroussel@verkor.com,Marlene Montroussel,user,Verkor,,
,vanessa.roger@verkor.com,Vanessa Roger,user,Verkor,,
,josselin.gousseau@verkor.com,Josselin Gousseau,user,Verkor,,
,noe.gilliot@verkor.com,Noe Gilliot,user,Verkor,,
,noel.legoupil@verkor.com,Noel Legoupil,user,Verkor,,
,hicham.el-qazbani@verkor.com,Hicham El Qazbani,user,Verkor,,
,cassandra.natasso@raja.fr,Cassandra Natasso,user,Raja,,
,gerald.verheyde@verkor.com,Gerald Verheyde,user,Verkor,,
,aurelie_ratouit@connect-tech.sncf,Aurélie Ratouit,viewer,Sncf Connect & Tech,hr,
,iddin-hakimi.bin-mohd-zaidi@verkor.com,Iddin Hakimi Bin Mohd Zaidi,user,Verkor,,
,kevin.verriest@verkor.com,Kevin Verriest,user,Verkor,,
,romain.philippe@verkor.com,Romain Philippe,user,Verkor,,
,mickael.vanhille@verkor.com,Mickael Vanhille,user,Verkor,,
,severine.blaizel@verkor.com,Severine Blaizel,user,Verkor,,
,aurore_batteux@connect-tech.sncf,Aurore Batteux,viewer,Sncf Connect & Tech,it,
,muhammad-sadruddin.bin-abd-aziz@verkor.com,Muhammad Sadruddin Bin Abd Aziz,user,Verkor,,
,arthur.cazzulani@verkor.com,Arthur Cazzulani,user,Verkor,,
,chin-soon.poo@verkor.com,Chin Soon Poo,user,Verkor,,
,joseph.tartaglia@verkor.com,Joseph Tartaglia,user,Verkor,,
,mickael.delcambre@verkor.com,Mickael Delcambre,user,Verkor,,
,antoine.cretinon@verkor.com,Antoine Cretinon,user,Verkor,,
,celine.turban@verkor.com,Celine Turban,user,Verkor,,
,nicolas.laloux@verkor.com,Nicolas Laloux,user,Verkor,,
,celine.guillemin@verkor.com,Celine Guillemin,user,Verkor,,
,emilie_escoffres@connect-tech.sncf,Emilie Escoffres Escoffres,viewer,Sncf Connect & Tech,,
,valerie.crepin@verkor.com,Valerie Crepin,user,Verkor,,
,pol-alain.becart@verkor.com,Pol Alain Becart,user,Verkor,,
,jerome.wacrenier@verkor.com,Jerome Wacrenier,user,Verkor,,
,nada.karabinosova@verkor.com,Nada Karabinosova,user,Verkor,,
,richard.fournier@verkor.com,Richard Fournier,user,Verkor,,
,maxence.broutin@verkor.com,Maxence Broutin,user,Verkor,,
,ala-eddine.cherif@raja.fr,Ala Eddine Cherif,user,Raja,,
,jeremy.mouchon@verkor.com,Jeremy Mouchon,user,Verkor,,
,abdeljabbar.hakim@verkor.com,Abdeljabbar Hakim,user,Verkor,,
,guillaume.deleens@verkor.com,Guillaume Deleens,user,Verkor,,
,ali.bitar@verkor.com,Ali Bitar,user,Verkor,,
,sylvie.cavoy@verkor.com,Sylvie Cavoy,user,Verkor,,
,diane.houtarde@verkor.com,Diane Houtarde,user,Verkor,,
,ersan.kurnaz@verkor.com,Ersan Kurnaz,user,Verkor,,
,nicolas_hosun@connect-tech.sncf,Nicolas Hosun Hosun,viewer,Sncf Connect & Tech,,
,laura.cleenewerck@verkor.com,Laura Cleenewerck,user,Verkor,,
,hugo_tavernier@connect-tech.sncf,Hugo Tavernier,viewer,Sncf Connect & Tech,marketing,
,paul.fasquelle@verkor.com,Paul Fasquelle,user,Verkor,,
,mariame_badri@connect-tech.sncf,Mariame Badri Badri,viewer,Sncf Connect & Tech,,
,lydie.soufferant@verkor.com,Lydie Soufferant,user,Verkor,,
,dorienne.dran-schoeni@verkor.com,Dorienne Dran Schoeni,user,Verkor,,
,julien.picot@verkor.com,Julien Picot,user,Verkor,,
,alfredo.roach@verkor.com,Alfredo Roach,user,Verkor,,
,vincent.dauchy@verkor.com,Vincent Dauchy,user,Verkor,,
,rajath-alva.kotekunja@verkor.com,Rajath Alva Kotekunja,user,Verkor,,
,jeremy.ureel@verkor.com,Jeremy Ureel,user,Verkor,,
,franck.pruvost@verkor.com,Franck Pruvost,user,Verkor,,
,maxence.loywyck@verkor.com,Maxence Loywyck,user,Verkor,,
,lucas.dufour@verkor.com,Lucas Dufour,user,Verkor,,
,diane_duverdier@connect-tech.sncf,Diane Du Verdier,viewer,Sncf Connect & Tech,marketing,
,antoine.ackermann@verkor.com,Antoine Ackermann,user,Verkor,,
,thi-deuang.hoang@verkor.com,Thi Deuang Hoang,user,Verkor,,
,aymen.douar@verkor.com,Aymen Douar,user,Verkor,,
,dawoon.jeong@verkor.com,Dawoon Jeong,user,Verkor,,
,kevin.duhautoy@verkor.com,Kevin Duhautoy,user,Verkor,,
,emmanuel.piazza@verkor.com,Emmanuel Piazza,user,Verkor,,
,marc.moret@verkor.com,Marc Moret,user,Verkor,,
,theo.widehem@verkor.com,Theo Widehem,user,Verkor,,
,titouan.alliod@verkor.com,Titouan Alliod,user,Verkor,,
,christophe.preaud@verkor.com,Christophe Preaud,user,Verkor,,
,tschaegis@raja.fr,Tschaegis,user,Raja,,
,christophe_lam@connect-tech.sncf,Christophe Lam,viewer,Sncf Connect & Tech,,
,angelique.domingues@verkor.com,Angelique Domingues,user,Verkor,,
,lisa_dacosta@connect-tech.sncf,Lisa Da Costa,viewer,Sncf Connect & Tech,legal,
,carine.cecchi@verkor.com,Carine Cecchi,user,Verkor,,
,loic.gilbert@verkor.com,Loic Gilbert,user,Verkor,,
,alexandra.sturma-pena@verkor.com,Alexandra Sturma Pena,user,Verkor,,
,bruno.delobel@verkor.com,Bruno Delobel,user,Verkor,,
,paulin.barennes@macquarie.com,Paulin Barennes,user,Verkor,,
,seungmin.seok@verkor.com,Seungmin Seok,user,Verkor,,
,isabelle_roca@connect-tech.sncf,Isabelle Roca,viewer,Sncf Connect & Tech,other,
,basile.seroul@verkor.com,Basile Seroul,user,Verkor,,
,laurence_jardin@connect-tech.sncf,Laurence Jardin Jardin,viewer,Sncf Connect & Tech,,
,elodie_gendron@connect-tech.sncf,Elodie Gendron,viewer,Sncf Connect & Tech,partnerships,
,dhruv.bhoi@verkor.com,Dhruv Bhoi,user,Verkor,,
,benjamin.loorius@verkor.com,Benjamin Loorius,user,Verkor,,
,aline.spiraers@verkor.com,Aline Spiraers,user,Verkor,,
,adrien.bellanger@verkor.com,Adrien Bellanger,user,Verkor,,
,julien.morchipont@verkor.com,Julien Morchipont,user,Verkor,,
,cassandre.naide@verkor.com,Cassandre Naide,user,Verkor,,
,rayane.moussa@verkor.com,Rayane Moussa,user,Verkor,,
,julia_mason@connect-tech.sncf,Julia Mason Mason,viewer,Sncf Connect & Tech,,
,camille.pynthe@verkor.com,Camille Pynthe,user,Verkor,,
,jean-baptiste.verschelle@verkor.com,Jean Baptiste Verschelle,user,Verkor,,
,arthur.degon@verkor.com,Arthur Degon,user,Verkor,,
,paul_kleindienst@connect-tech.sncf,Paul Kleindienst,viewer,Sncf Connect & Tech,other,
,johan_maussion@connect-tech.sncf,Johan Maussion,viewer,Sncf Connect & Tech,other,
,hayat.hadj@verkor.com,Hayat Hadj,user,Verkor,,
,pierre_vannini@connect-tech.sncf,Pierre Emmanuel Vannini,viewer,Sncf Connect & Tech,marketing,
,pmboungouloumba@raja.fr,Pmboungouloumba,user,Raja,,
,jacqueline.semmache@verkor.com,Jacqueline Semmache,user,Verkor,,
,guillaume.ogier@verkor.com,Guillaume Ogier,user,Verkor,,
,matthieu.ambroise-thomas@verkor.com,Matthieu Ambroise Thomas,user,Verkor,,
,hicham.el-meskini@verkor.com,Hicham El Meskini,user,Verkor,,
,samuel.kim@verkor.com,Samuel Kim,user,Verkor,,
,loic.gusmini@raja.fr,Loic Gusmini,user,Raja,,
,namheon.song@verkor.com,Namheon Song,user,Verkor,,
,panara.bhumilkumar-pravinbhai@verkor.com,Panara Bhumilkumar Pravinbhai,user,Verkor,,
,thomas.pannequin@verkor.com,Thomas Pannequin,user,Verkor,,
,mohamed.aulad-si-ali@verkor.com,Mohamed Aulad Si Ali,user,Verkor,,
,thibault.godin@verkor.com,Thibault Godin,user,Verkor,,
,aya.rekaya@verkor.com,Aya Rekaya,user,Verkor,,
,marine_liger@connect-tech.sncf,Marine Liger,viewer,Sncf Connect & Tech,marketing,
,yassir_benataya@connect-tech.sncf,Yassir Benataya Benataya,viewer,Sncf Connect & Tech,,
,malo.drouin@verkor.com,Malo Drouin,user,Verkor,,
,nicolas.carru@verkor.com,Nicolas Carru,user,Verkor,,
,damien.cousin@verkor.com,Damien Cousin,user,Verkor,,
,youssef.yahyaoui@verkor.com,Youssef Yahyaoui,user,Verkor,,
,patrice.burier@verkor.com,Patrice Burier,user,Verkor,,
,sandrine_lhuillery@connect-tech.sncf,Sandrine Lhuillery,viewer,Sncf Connect & Tech,,
,pascal.duriez@verkor.com,Pascal Duriez,user,Verkor,,
,chandan.thyagaraj@verkor.com,Chandan Thyagaraj,user,Verkor,,
,nicolas.suaud@verkor.com,Nicolas Suaud,user,Verkor,,
,sanatou.toe@verkor.com,Sanatou Toe,user,Verkor,,
,anais_pas@connect-tech.sncf,Anais Pas,viewer,Sncf Connect & Tech,marketing,
,varun@gourmey.com,Varun,user,Supreme,rd,
,emmanuel.bonnet@verkor.com,Emmanuel Bonnet,user,Verkor,,
,moustafa.khalil@verkor.com,Moustafa Khalil,user,Verkor,,
,johanna_cogan@connect-tech.sncf,Johanna Cogan Cogan,viewer,Sncf Connect & Tech,,
,carine_benoist@connect-tech.sncf,Carine Benoist Benoist,viewer,Sncf Connect & Tech,sales,
,olivier.coupez@raja.fr,Olivier Coupez,user,Raja,,
,maxence.godin@verkor.com,Maxence Godin,user,Verkor,,
,jonathan_cidera@connect-tech.sncf,Jonathan Cidera,viewer,Sncf Connect & Tech,finance,
,abdelhamid.el-bahzaoui@verkor.com,Abdelhamid El Bahzaoui,user,Verkor,,
,enzo.collart@verkor.com,Enzo Collart,user,Verkor,,
,jarod.marquant@verkor.com,Jarod Marquant,user,Verkor,,
,maxime.roziecki@verkor.com,Maxime Roziecki,user,Verkor,,
,dominique.leclaire-leduc@verkor.com,Dominique Leclaire Leduc,user,Verkor,,
,claire_perrier@connect-tech.sncf,Claire Perrier,viewer,Sncf Connect & Tech,sales,
,sebastien.courtin@verkor.com,Sebastien Courtin,user,Verkor,,
,antoine.aubin@verkor.com,Antoine Aubin,user,Verkor,,
,michael.houfani@verkor.com,Michael Houfani,user,Verkor,,
,frederic_feurgard@connect-tech.sncf,Frederic Feurgard Feurgard,viewer,Sncf Connect & Tech,,
,meryem.barroug@verkor.com,Meryem Barroug,user,Verkor,,
,claire.janiaczyk@verkor.com,Claire Janiaczyk,user,Verkor,,
,benjamin.hamy@verkor.com,Benjamin Hamy,user,Verkor,,
,iona.moog@verkor.com,Iona Moog,user,Verkor,,
,christine.marquet@raja.fr,Christine Marquet,user,Raja,,
,boubekeur.maarouf@verkor.com,Boubekeur Maarouf,user,Verkor,,
,aziza.scattolon@verkor.com,Aziza Scattolon,user,Verkor,,
,moussa.bouazzaoui@verkor.com,Moussa Bouazzaoui,user,Verkor,,
,theo.thorez@verkor.com,Theo Thorez,user,Verkor,,
,matteo.vanloocke@verkor.com,Matteo Vanloocke,user,Verkor,,
,vincent.dumont@verkor.com,Vincent Dumont,user,Verkor,,
,nasr.lamrhary@verkor.com,Nasr Lamrhary,user,Verkor,,
,annie_nosal@connect-tech.sncf,Annie Nosal Nosal,viewer,Sncf Connect & Tech,,
,marine.soler@verkor.com,Marine Soler,user,Verkor,,
,marcel.letailleur@verkor.com,Marcel Letailleur,user,Verkor,,
,chloe.le-boulch@verkor.com,Chloe Le Boulch,user,Verkor,,
,nour.bach-hamba@verkor.com,Nour Bach Hamba,user,Verkor,,
,elise.leclercq@verkor.com,Elise Leclercq,user,Verkor,,
,vincent.salmon@raja.fr,Vincent Salmon,user,Raja,,
,thibaut.renaudin@verkor.com,Thibaut Renaudin,user,Verkor,,
,aristide.marsylle@verkor.com,Aristide Marsylle,user,Verkor,,
,lieszhalan.shunmugam@verkor.com,Lieszhalan Shunmugam,user,Verkor,,
,lucie.lavieville@verkor.com,Lucie Lavieville,user,Verkor,,
,hugo.langrez@verkor.com,Hugo Langrez,user,Verkor,,
,aurelien_bridelance@connect-tech.sncf,Aurelien Bridelance Bridelance,viewer,Sncf Connect & Tech,,
,mohammad.nikooei@verkor.com,Mohammad Nikooei,user,Verkor,,
,muhamad-noorhakim.bin-mohamed-rozali@verkor.com,Muhamad Noorhakim Bin Mohamed Rozali,user,Verkor,,
,berkay.alp@raja.fr,Berkay Alp,user,Raja,,
,angelique_bidault@connect-tech.sncf,Angelique Bidault Bidault,viewer,Sncf Connect & Tech,,
,quentin.rebelo@verkor.com,Quentin Rebelo,user,Verkor,,
,nagappan.ravi@verkor.com,Nagappan Ravi,user,Verkor,,
,angel.garcia@verkor.com,Angel Garcia,user,Verkor,,
,ludivine.dubrulle@verkor.com,Ludivine Dubrulle,user,Verkor,,
,minkyung.lee@verkor.com,Minkyung Lee,user,Verkor,,
,delphine.vidal@verkor.com,Delphine Vidal,user,Verkor,,
,arnaud.cros-badon@verkor.com,Arnaud Cros Badon,user,Verkor,,
,jordan.dumay@verkor.com,Jordan Dumay,user,Verkor,,
,jean-francois.sicot@verkor.com,Jean Francois Sicot,user,Verkor,,
,damien.jalabert@verkor.com,Damien Jalabert,user,Verkor,,
,hugo.vanhille@verkor.com,Hugo Vanhille,user,Verkor,,
,christophe.leduc@verkor.com,Christophe Leduc,user,Verkor,,
,romain.dankovski@verkor.com,Romain Dankovski,user,Verkor,,
,nicolas.rees@verkor.com,Nicolas Rees,user,Verkor,,
,teddy.mignon@verkor.com,Teddy Mignon,user,Verkor,,
,sylvain.herrebrecht@verkor.com,Sylvain Herrebrecht,user,Verkor,,
,avinash-kumar.rokkam@verkor.com,Avinash Kumar Rokkam,user,Verkor,,
,julien.ruckebusch@verkor.com,Julien Ruckebusch,user,Verkor,,
,thomas.giganti@verkor.com,Thomas Giganti,user,Verkor,,
,celine.barchasz@verkor.com,Celine Barchasz,user,Verkor,,
,bassem.selmi@verkor.com,Bassem Selmi,user,Verkor,,
,maxime.servajon@verkor.com,Maxime Servajon,user,Verkor,,
,rubbendran.selamuthu@verkor.com,Rubbendran Selamuthu,user,Verkor,,
,adeline.hoestlandt@verkor.com,Adeline Hoestlandt,user,Verkor,,
,melody.roquancourt@raja.fr,Melody Roquancourt,user,Raja,,
,fabien.carru@verkor.com,Fabien Carru,user,Verkor,,
,nicolas.favre@verkor.com,Nicolas Favre,user,Verkor,,
,tasnime.chergui-malih@verkor.com,Tasnime Chergui Malih,user,Verkor,,
,emiliano.primo@verkor.com,Emiliano Primo,user,Verkor,,
,guillaume.lehouck@verkor.com,Guillaume Lehouck,user,Verkor,,
,zakariae.loukili@verkor.com,Zakariae Loukili,user,Verkor,,
,susana.ramos-da-silva-barbosa@verkor.com,Susana Ramos Da Silva Barbosa,user,Verkor,,
,constance.glaichenhaus@verkor.com,Constance Glaichenhaus,user,Verkor,,
,arnaud.sambardier@verkor.com,Arnaud Sambardier,user,Verkor,,
,daniel.goblet@verkor.com,Daniel Goblet,user,Verkor,,
,muhammad-shafiq.ithnan@verkor.com,Muhammad Shafiq Ithnan,user,Verkor,,
,agnes_nogue@connect-tech.sncf,Agnes Nogue Nogue,viewer,Sncf Connect & Tech,,
,morgane.freitas@verkor.com,Morgane Freitas,user,Verkor,,
,arnaud.rebour@verkor.com,Arnaud Rebour,user,Verkor,,
,kushal.jalige-ravikumar@verkor.com,Kushal Jalige Ravikumar,user,Verkor,,
,geoffrey.tegny@verkor.com,Geoffrey Tegny,user,Verkor,,
,mabrouk.elmahdi@verkor.com,Mabrouk Elmahdi,user,Verkor,,
,solene.vidal@verkor.com,Solene Vidal,user,Verkor,,
,ludovic.fafournoux@verkor.com,Ludovic Fafournoux,user,Verkor,,
,gaspard.lapouille@verkor.com,Gaspard Lapouille,user,Verkor,,
,laurent.tauveron@verkor.com,Laurent Tauveron,user,Verkor,,
,florentin.admont@verkor.com,Florentin Admont,user,Verkor,,
,elise_huet@connect-tech.sncf,Elise Huet Huet,viewer,Sncf Connect & Tech,,
,charles-raoul.kohn@verkor.com,Charles Raoul Kohn,user,Verkor,,
,aletya.rodriguez@verkor.com,Aletya Rodriguez,user,Verkor,,
,andy.vilcot@verkor.com,Andy Vilcot,user,Verkor,,
,arnaud.katuzny@verkor.com,Arnaud Katuzny,user,Verkor,,
,mariusz.kopij@verkor.com,Mariusz Kopij,user,Verkor,,
,anthony.auberville@verkor.com,Anthony Auberville,user,Verkor,,
,aya.ben-othman@verkor.com,Aya Ben Othman,user,Verkor,,
,cyril.schmitt@verkor.com,Cyril Schmitt,user,Verkor,,
,geoffrey.card@verkor.com,Geoffrey Card,user,Verkor,,
,peter.murphy@verkor.com,Peter Murphy,user,Verkor,,
,santhosh.sampath@verkor.com,Santhosh Sampath,user,Verkor,,
,zakari.mahamoud@verkor.com,Zakari Mahamoud,user,Verkor,,
,franck_gbenou@connect-tech.sncf,Franck Gbenou,viewer,Sncf Connect & Tech,marketing,
,kaprice-lana.loemba-mpassy@verkor.com,Kaprice Lana Loemba Mpassy,user,Verkor,,
,minjae.kim@verkor.com,Minjae Kim,user,Verkor,,
,titouan.desrues@verkor.com,Titouan Desrues,user,Verkor,,
,abishek.bhat@verkor.com,Abishek Bhat,user,Verkor,,
,gael.varlet@verkor.com,Gael Varlet,user,Verkor,,
,ayoub.zouhair@verkor.com,Ayoub Zouhair,user,Verkor,,
,malik_mediouna@connect-tech.sncf,Malik Mediouna,viewer,Sncf Connect & Tech,hr,
,marie_perrin@connect-tech.sncf,Marie Perrin,viewer,Sncf Connect & Tech,marketing,
,iskra.kajevska@verkor.com,Iskra Kajevska,user,Verkor,,
,tony.brunet@verkor.com,Tony Brunet,user,Verkor,,
,david.lombardo@verkor.com,David Lombardo,user,Verkor,,
,theo.deloffre@verkor.com,Theo Deloffre,user,Verkor,,
,corinne_bolher@connect-tech.sncf,Corinne Bolher,viewer,Sncf Connect & Tech,it,
,christophe.bonnel@verkor.com,Christophe Bonnel,user,Verkor,,
,noemie.debove@verkor.com,Noemie Debove,user,Verkor,,
,arnaud.detavernier@verkor.com,Arnaud Detavernier,user,Verkor,,
,julian.brazy@verkor.com,Julian Brazy,user,Verkor,,
,ashik-ahmed.mohamed@verkor.com,Ashik Ahmed Mohamed,user,Verkor,,
,ashutosh.raval@verkor.com,Ashutosh Raval,user,Verkor,,
,sandrine.wlodarczak@verkor.com,Sandrine Wlodarczak,user,Verkor,,
,yacine_outtaleb@connect-tech.sncf,Yacine Outtaleb Outtaleb,viewer,Sncf Connect & Tech,,
,jeremy.lecoustre@verkor.com,Jeremy Lecoustre,user,Verkor,,
,nathan.vandamme@verkor.com,Nathan Vandamme,user,Verkor,,
,thecie.ayong-massounga@verkor.com,Thecie Ayong Massounga,user,Verkor,,
,guilyan.bocquet@verkor.com,Guilyan Bocquet,user,Verkor,,
,marie-laure.lecerf@verkor.com,Marie Laure Lecerf,user,Verkor,,
,julien.caillez@verkor.com,Julien Caillez,user,Verkor,,
,remy.lefranc@verkor.com,Remy Lefranc,user,Verkor,,
,lucile_blanc@connect-tech.sncf,Lucile Blanc,viewer,Sncf Connect & Tech,finance,
,bertin.kluczynski@verkor.com,Bertin Kluczynski,user,Verkor,,
,julien.dart@verkor.com,Julien Dart,user,Verkor,,
,david_gonzalezdecabo@connect-tech.sncf,David Gonzalezdecabo Gonzalezdecabo,viewer,Sncf Connect & Tech,marketing,
,dahbia.taillefesse@verkor.com,Dahbia Taillefesse,user,Verkor,,
,kevin.devriendt@verkor.com,Kevin Devriendt,user,Verkor,,
,joel_combe@connect-tech.sncf,Joël Combe,viewer,Sncf Connect & Tech,sales,Business Devlopment
,benjamin.bragard@verkor.com,Benjamin Bragard,user,Verkor,,
,sandeep.kumar@verkor.com,Sandeep Kumar,user,Verkor,,
,evelyne.darranne@verkor.com,Evelyne Darranne,user,Verkor,,
,antoine_millien@connect-tech.sncf,Antoine Millien Millien,viewer,Sncf Connect & Tech,,
,armand.jacquart@verkor.com,Armand Jacquart,user,Verkor,,
,ludovic.six@verkor.com,Ludovic Six,user,Verkor,,
,guillaume.dutrieux@verkor.com,Guillaume Dutrieux,user,Verkor,,
,wael.krichen@verkor.com,Wael Krichen,user,Verkor,,
,ivica.bizic@verkor.com,Ivica Bizic,user,Verkor,,
,nadia.elyamouni.ext@raja.fr,Nadia Elyamouni,user,Raja,,
,hagop.dolmadjian@verkor.com,Hagop Dolmadjian,user,Verkor,,
,charles_messaoudi@connect-tech.sncf,Charles Messaoudi Messaoudi,viewer,Sncf Connect & Tech,,
,francois.grumiaux@verkor.com,Francois Grumiaux,user,Verkor,,
